Questions,Answers,Type,Ask,QueryUser?,
rr For I am not ashamed of the gospel,1:16,8,,0,
rr for it is the power of God for salvation to everyone who believes,1:16,8,,0,
rr to the Jew first and also to the Greek,1:16,8,,0,
the subordination of one clause to another,hypotaxis,8,,0,
rr everyone who believes,"1:16; 3:22; 4:11; 10:4, 11",8,,1,
rr I am under obligation,1:14,7,,0,
"Greek for ""serve""",latreuo,8,,0,
rr For the wrath of God is revealed from heaven,1:18,9,,0,
rr against all ungodliness and unrighteousness of men,1:18,9,,0,
rr who by their unrighteousness suppress the truth,1:18,9,,0,
esv: For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men who by their unrighteousness suppress the truth,blanks,9,,0,
"Moo's translation of ""plain to them"" (v19)",manifest among them,9,,0,
"Moo's translation of ""shown it"" (v19)",made it manifest,9,,0,
1:19 first and last words,"for, them",9,,0,
"esv: For what can be known about God is plain to them, because God has shown it to them",blanks,9,,0,
"Moo's translation of ""divine nature""",deity,9,,0,
1:20 first and last words,"For, excuse",9,,0,
"esv: For his invisible attributes, namely, his eternal power and divine nature, have been clearly perceived, ever since the creation of the world",blanks,9,,0,
"esv: ever since the creation of the world, in the things that have been made.  So they are without excuse",blanks,9,,0,
"Gk for ""honor""",ed(o)xasan,9,,0,
"Moo's translation of ""honor him as God""",glorify Him as God,9,,0,
1:21a first and last words,"for, him",9,,0,
"esv: For although they knew God, they did not honor him as God or give thanks to him",blanks,9,,0,
rr they became,"1:21b, 22",9,,0,
rr futile in their thinking,1:21b,9,,0,
rr foolish hearts,1:21b,9,,0,
rr darkened,1:21b,9,,0,
"Moo's translation of ""thinking""",reasonings,9,,0,
"Moo's translation of ""foolish hearts were darkened""","hearts, lacking understanding, were darkened",9,,0,
1:21b first and last words,"But, darkened",9,,0,
esv: But they became futile in their thinking and their foolish hearts were darkened,blanks,9,,0,
"rr Claiming to be wise, they became fools",1:22,9,,0,
"Moo's translation of ""claiming to be""",supposing themselves to be,9,,0,
"esv: Claiming to be wise, they became fools",blanks,9,,0,
rr and exchanged the glory,1:23,9,,0,
rr glory of the immortal God,1:23,9,,0,
rr for images resembling mortal man,1:23,9,,0,
rr birds and animals and creeping things,1:23,9,,0,
"Moo's translation of ""images resembling""",the likeness of the image of,9,,0,
1:23 first and last words,"and, things",9,,0,
esv: and exchanged the glory of the immortal God for images resembling mortal man and birds and animals and creeping things,blanks,9,,0,
rr God gave them up,"1:24, 26, 28",9,,0,
rr in the lusts of their hearts to impurity,1:24,9,,0,
rr the dishonoring of their bodies among themselves,1:24,9,,0,
"Gk for ""dishonoring""",atim(a)zesthai,9,,0,
"Moo's translation of ""lusts"" (v24)",passions,9,,0,
Moo's translation of paradidowmi,handed them over,9,,0,
"Moo's translation of ""impurity""",uncleanness,9,,0,
1:24 first and last words,"Therefore, themselves",9,,0,
"esv: Therefore God gave them up in the lusts of their hearts to impurity, to the dishonoring of their bodies among themselves",blanks,9,,0,
rr because they exchanged the truth,1:25,9,,0,
rr truth about God for a lie,1:25,9,,0,
rr worshiped and served the creature ,1:25,9,,0,
rr creature rather than the creator,1:25,9,,0,
rr who is blessed forever! Amen.,1:25,9,,0,
1:25 first and last words,"because, Amen",9,,0,
esv: because they exchanged the truth about God for a lie and worshiped and served the creature rather than the Creator,blanks,9,,0,
esv: Worshiped and served the creature rather than the Creator who is blessed forever! Amen.,blanks,9,,0,
"Gk for ""dishonorable""",atim(i)as,9,,0,
rr For this reason God gave them up to dishonorable passions.,1:26,9,,0,
rr exchanged natural relations,1:26,9,,0,
rr contrary to nature,1:26,9,,0,
"Moo's translation: ""women exchanged ____ for""",the natural use of their bodies,9,,0,
1:26 first and last words,"For, nature",9,,0,
esv: For this reason God gave them up to dishonorable passions. For their women exchanged natural relations for those that are contrary to nature,blanks,9,,0,
rr and the men likewise,1:27a,9,,0,
rr natural relations,"1:26, 27a",9,,0,
rr gave up natural relations,1:27a,9,,0,
rr consumed with passion,1:27a,9,,0,
rr passion for one another,1:27a,9,,0,
"Moo's translation of ""were consumed with passion""",burned in their desire,9,,0,
1:27a first and last words,"and, another",9,,0,
esv: and the men likewise gave up natural relations with women and were consumed with passion for one another,blanks,9,,0,
rr men committing shameless acts with men,1:27b,9,,0,
rr and receiving in themselves the due penalty for their error,1:27b,9,,0,
1:27b first and last words,"men, error",9,,0,
esv: men committing shameless acts with men and receiving in themselves the due penalty for their error,blanks,9,,0,
,,,,,
rr But now the righteousness of God has been manifested apart from the law,3:21,10,,0,
"rr No one is righteous, no not one",3:10,10,,0,
Piper's view: rr: The Wrath of God against Gentiles,1:18-32,10,,0,
Piper's view: rr: The Wrath of God against the Jews,2:1-3:8,10,,0,
"rr since, therefore, we have been justified by his blood",5:9,10,,0,
rr much more shall we be saved by him from the wrath of God,5:9,10,,0,
,,,,,
Moo outline: The Letter Opening,I,11,,0,
"rr ""The Letter Opening""",1:1-17,11,,0,
Moo outline: 1:1-17,I,11,,0,
rr Outline: I,1:1-17,11,,0,
Moo outline: The Heart of the Gospel: Justification By Faith,II,11,,0,
"rr ""The Heart of the Gospel: Justification By Faith""",1:18-4:25,11,,0,
Moo outline: 1:18-4:25,II,11,,0,
rr Outline: II,1:18-4:25,11,,0,
Moo outline: The Assurance Provided by the Gospel: The Hope of Salvation,III,11,,0,
"rr ""The Assurance Provided by the Gospel: The Hope of Salvation""",5:1-8:39,11,,0,
Moo outline: 5:1-8:39,III,11,,0,
rr outline: III,5:1-8:39,11,,0,
Moo outline: The Defense of the Gospel: The Problem of Israel,IV,11,,0,
"rr  ""The Defense of the Gospel: The Problem of Israel""",9:1-11:36,11,,0,
Moo outline: 9:1-11:36,IV,11,,0,
rr outline: IV,9:1-11:36,11,,0,
Moo outline: The Transforming Power of the Gospel: Christian Conduct,V,11,,0,
"rr ""The Transforming Power of the Gospel: Christian Conduct""",12:1-15:13,11,,0,
Moo outline: 12:1-15:13,V,11,,0,
rr outline: V,12:1-15:13,11,,0,
Moo outline: The Letter Closing,VI,11,,0,
"rr ""The Letter Closing""",15:14-16:27,11,,0,
Moo outline: 15:14-16:27,VI,11,,0,
rr outline: VI,15:14-16:27,11,,0,
,,,,,
"rr: What then? Are we Jews any better off? No, not at all. For we have already charged that all, both Jews and Greeks, are under sin.",3:9,12,,0,
"rr as it is written: ""None is righteous, no, not one""",3:10,12,,0,
"rr But if our unrighteousness serves to show the righteousness of God, what shall we say? That God is unrighteous to inflict wrath on us?",3:5,12,,0,
"rr But now the righteousness of God has been manifested apart from the law, although the Law and the Prophets bear witness to it",3:21,12,,0,
rr the righteousness of God through faith in Jesus Christ for all who believe. For there is no distinction:,3:22,12,,0,
"rr Parallel to ""is being revealed"" in 1:17",1:18,12,,0,
"rr Parallel to ""is being revealed"" in 1:18",1:17,12,,0,
"parallel to ""life""",salvation,12,,0,
"parallel to ""salvation""",life,12,,0,
,,,,,
1:28 first and last words,"and, done",13,,,
rr And since they did not see fit to acknowledge God,1:28,13,,,
rr God gave them up to a debased mind,1:28,13,,,
rr to do what ought not to be done,1:28,13,,,
"Moo's translation of ""and since they did not""",and even as they did not,13,,,
"Moo's translation of ""acknowledge God""",retain God in knowledge,13,,,
"Moo's translation of ""debased""",worthless,13,,,
"Greek for ""not see fit""",edok(i)masan,13,,,
"Greek for ""debased""",ad(o)kimon,13,,,
"Greek for ""approve, test""",dokim(a)zow,13,,,
"esv: And since they did not see fit to acknowledge God, God gave them up to a debased mind to do what ought not to be done.",blanks,13,,,
1:29a - FL,"They, malice",13,,,
rr They were filled with all manner of unrighteousness,1:29a,13,,,
set: EVV for adik(i)a,"unrighteousness, wickedness",13,,,
"rr evil, covetousness, malice",1:29a,13,,,
All maner of (Gk.) ____?,"adik(i)a, ponayr(i)a, pleonex(i)a, kak(i)a",13,,,
set: EVV for ponayr(i)a,"evil, wickedness",13,,,
set: EVV for pleonex(i)a,"covetousness, greed",13,,,
set: EVV for kak(i)a,"malice, wickedness, evil, depravity, maliciousness",13,,,
"esv: They were filled with all manner of unrighteousness, evil, covetousness, malice. ",blanks,13,,,
1:29b - FL,"They, gossips",13,,,
"rr They are full of envy, murder, strife",1:29b,13,,,
Gk. for envy,psth(o)nou,13,,,
Gk. for murder,ps(o)nou,13,,,
"rr deceit, maliciousness.  They are gossips,",1:29b,13,,,
"esv: They are full of envy, murder, strife, deceit, maliciousness. They are gossips,",blanks,13,,,
"esv: They were filled with all manner of unrighteousness, evil, covetousness, malice.  They are full of envy, murder, strife, deceit, maliciousness. They are gossips,",blanks,13,,,
1:30 - FL,"slanderers, parents",13,,,
"rr slanderers, haters of God, insolent",1:30,13,,,
"rr haughty, boastful, inventors of evil, disobedient to parents",1:30,13,,,
Moo's translation of boastful,overbearing,13,,,
"esv: They are full of envy, murder, strife, deceit, maliciousness. They are gossips, slanderers, haters of God, insolent, haughty, boastful, inventors of evil, disobedient to parents,",blanks,13,,,
1:31 - FL,"foolish, ruthless",13,,,
"rr foolish, faithless, heartless, ruthless.",1:31,13,,,
"esv: They are full of envy, murder, strife, deceit, maliciousness. They are gossips, slanderers, haters of God, insolent, haughty, boastful, inventors of evil, disobedient to parents, foolish, faithless, heartless, ruthless.",blanks,13,,,
1:32a - FL,"though, die",13,,,
rr Though they know God's decree,1:32a,13,,,
rr that those who practice such things deserve to die,1:32a,13,,,
"Moo's translation of ""decree""",righteous decree,13,,,
"esv: foolish, faithless, heartless, ruthless. Though they know God's decree that those who practice such things deserve to die",blanks,13,,,
1:32b - FL,"They, them",13,,,
rr they not only do them but give approval,1:32b,13,,,
rr to those who practice them,1:32b,13,,,
"esv: Though they know God's decree that those who practice such things deserve to die, they not only do them but give approval to those who practice them. ",blanks,13,,,
,,,,,
rr *honor*,"1:21a, 24, 26; 2:7, 10",14,,0,
rr exchanged,"1:23, 25, 26",14,,0,
rr passion(s),"1:26, 27a",14,,0,
"rr parallel with ""unrighteousness"" of 1:18",1:17,14,,0,
rr gnosis word group in chapter 1,"1:19, 21a, 32a",14,,0,
,,,,,
Verses in chapter 1 with an a/b breakdown,"21, 27, 29, 32",13,,0,
"rr ""Judg*"" in chapter 2","2:1a, 1b, 2, 3, 5b",15,,0,
"Moo's translation of ""by their unrighteousness""",in unrighteousness,15,,0,
Moo's translation of apacaleptetai,is being revealed,15,,0,
"Moo's translation of ""men""",human beings,15,,0,
,,,,,
"rr ""excuse"" ",1:20; 2:1a,18,,0,
"Greek for ""gave them up"" /  ""handed them over""",paradidowmi,18,,0,
"Greek for ""exchanged"" in 1:23",allassow,18,,0,
"Greek for ""exchanged"" in vv. 25 and 27",metallassow,18,,0,
"What_God_gave_them_up_to: impurity, dishonoring, passions, mind",blanks,18,,0,
"What_Mankind_Exchanged: glory, truth, relations",blanks,18,,0,
"What_they_exchanged_for: images, lie, relations",blanks,18,,0,
,,,,,
"Moo Outline: ""The Universal Reign of Sin""",II.A,19,,0,
"rr (Moo's Outline) ""The Universal Reign of Sin""",1:18-3:20,19,,0,
Moo Outline: 1:18-3:20,II.A,19,,0,
rr (Moo's Outline) II.A,1:18-3:20,19,,0,
"Moo Outline: ""Justification by Faith""",II.B,19,,0,
"rr (Moo's Outline) ""Justification by Faith""",3:21-4:25,19,,0,
Moo Outline: 3:21-4:25,II.B,19,,0,
rr (Moo's Outline) II.B,3:21-4:25,19,,0,
"Moo Outline: ""All Persons Are Accountable to God for Sin""",II.A.1,19,,0,
"rr (Moo's Outline) ""All Persons Are Accountable to God for Sin""",1:18-32,19,,0,
Moo Outline: 1:18-32,II.A.1,19,,0,
rr (Moo's Outline) II.A.1,1:18-32,19,,0,
"Moo Outline: ""The Jews are Accountable to God for Sin""",II.A.2,19,,0,
"rr (Moo's Outline) ""The Jews are Accountable to God for Sin""",2:1-3:8,19,,0,
Moo Outline: 2:1-3:8,II.A.2,19,,0,
rr (Moo's Outline) II.A.2,2:1-3:8,19,,0,
"Moo Outline: ""The Guilt of All Humanity""",II.A.3,19,,0,
"rr (Moo's Outline) ""The Guilt of All Humanity""",3:9-20,19,,0,
Moo Outline: 3:9-20,II.A.3,19,,0,
rr (Moo's Outline) II.A.3,3:9-20,19,,0,
,,,,,
"Moo Outline: ""The Jews and The Judgment of God""",II.A.2.a,24,,,
"rr (Moo's Outline)  ""The Jews and The Judgment of God""",2:1-16,24,,,
Moo Outline: 2:1-16,II.A.2.a,24,,,
rr (Moo's Outline) II.A.2.a,2:1-16,24,,,
"Moo Outline: ""The Limitations of the Covenant""",II.A.2.b,24,,,
"rr (Moo's Outline)  ""The Limitations of the Covenant""",2:17-29,24,,,
Moo Outline: 2:17-29,II.A.2.b,24,,,
rr (Moo's Outline) II.A.2.b,2:17-29,24,,,
"Moo Outline: ""God's Faithfulness and the Judgment of the Jews""",II.A.2.c,24,,,
"rr (Moo's Outline)  ""God's Faithfulness and the Judgment of the Jews",3:1-8,24,,,
Moo Outline: 3:1-8,II.A.2.c,24,,,
rr (Moo's Outline) II.A.2.c,3:1-8,24,,,
"Moo Outline: ""Critique of Jewish Presumption""",II.A.2.a.i,24,,,
"rr (Moo's Outline)  ""Critique of Jewish Presumption""",2:1-5,24,,,
Moo Outline: 2:1-5,II.A.2.a.i,24,,,
rr (Moo's Outline) II.A.2.a.i,2:1-5,24,,,
"Moo Outline: ""The Impartiality of Judgment""",II.A.2.a.ii,24,,,
"rr (Moo's Outline)  ""The Impartiality of Judgment""",2:6-11,24,,,
Moo Outline: 2:6-11,II.A.2.a.ii,24,,,
rr (Moo's Outline) II.A.2.a.ii,2:6-11,24,,,
"Moo Outline: ""Judgment and the Law""",II.A.2.a.iii,24,,,
"rr (Moo's Outline)  ""Judgment and the Law""",2:12-16,24,,,
Moo Outline: 2:12-16,II.A.2.a.iii,24,,,
rr (Moo's Outline) II.A.2.a.iii,2:12-16,24,,,
"Moo Outline: ""The Law""",II.A.2.b.i,24,,,
"rr (Moo's Outline)  ""The Law""",2:17-24,24,,,
Moo Outline: 2:17-24,II.A.2.b.i,24,,,
rr (Moo's Outline) II.A.2.b.i,2:17-24,24,,,
"Moo Outline: ""Circumcision""",II.A.2.b.ii,24,,,
"rr (Moo's Outline)  ""Circumcision""",2:25-29,24,,,
Moo Outline: 2:25-29,II.A.2.b.ii,24,,,
rr (Moo's Outline) II.A.2.b.ii,2:25-29,24,,,
,,,,,
"Rom 2:1a, first and last words","Therefore, judges",15,,,
rr no excuse,2:1a,15,,,
"NIV for ""en how gar kr(i)neis""",for at whatever point you judge,15,,,
"ESV for ""en how gar kr(i)neis""",for in passing judgment,15,,,
rr every one of you who judges,2:1a,15,,,
"NIV for ""pas o kr(i)non""",you who pass judgment on someone else,15,,,
"Rom 2:1b, first and last words","For, things",15,,,
rr passing judgment,2:1b,15,,,
rr condemn yourself,2:1b,15,,,
"rr you, the judge",2:1b,15,,,
"esv: Therefore you have no excuse, O man, every one of you who judges.  For in passing judgment on another you condemn yourself, because you, the judge, practice the very same things. ",blanks,15,,,
rr the judgment of God,"2:2, 3",15,,,
"Rom 2:2, first and last words","we, things",15,,,
rr we know,2:2,15,,,
rr rightly falls,2:2,15,,,
"NIV for ""estin kat(a) al(ay)theian""",is according to truth,15,,,
"Gk. for NIV's ""a mere human being""",o (a)nthrowpe,15,,,
rr those who practice such things,"1:32a; 2:2, 3",15,,,
Practice,"1:32a, 32b; 2:1b, 2, 3",15,,,
"esv: For in passing judgment on another you condemn yourself, because you, the judge, practice the very same things. We know that the judgment of God rightly falls on those who practice such things.",blanks,15,,,
"Rom 2:3, first and last words","Do, God",15,,,
rr do you suppose,2:3,15,,,
rr you who judge,2:3,15,,,
rr do them yourself,2:3,15,,,
"esv: We know that the judgment of God rightly falls on those who practice such things.  Do you suppose, O man- you who judge those who practice such things and yet do them yourself- that you will escape the judgment of God? ",blanks,15,,,
"Rom 2:4a, first and last words","Or, patience",15,,,
rr do you presume,2:4a,15,,,
NIV for kataphrone(i)s,show contempt for,15,,,
"Gk. For ""presume on""",kataphrone(i)s,15,,,
rr riches of his kindness,2:4a,15,,,
rr forbearance and patience,2:4a,15,,,
"esv: Do you suppose, O man- you who judge those who practice such things and yet do them yourself- that you will escape the judgment of God? Or do you presume on the riches of his kindness and forbearance and patience,",blanks,15,,,
"Rom 2:4b, first and last words","Not, repentance",15,,,
rr not knowing,2:4b,15,,,
rr God's kindness,2:4b,15,,,
rr repentance,2:4b,15,,,
"esv: Or do you presume on the riches of his kindness and forbearance and patience, not knowing that God's kindness is meant to lead you to repentance? ",blanks,15,,,
"Rom 2:5a, first and last words","But, yourself",15,,,
rr your hard and impenitent heart,2:5a,15,,,
rr storing up wrath,2:5a,15,,,
esv: not knowing that God's kindness is meant to lead you to repentance?  But because of your hard and impenitent heart you are storing up wrath for yourself ,blanks,15,,,
"Rom 2:5b, first and last words","On, revealed",15,,,
rr the day of wrath,2:5b,15,,,
rr God's righteous judgment,2:5b,15,,,
rr will be revealed,2:5b,15,,,
esv: But because of your hard and impenitent heart you are storing up wrath for yourself on the day of wrath when God's righteous judgment will be revealed.,blanks,15,,,
rr o man,"2:1a, 3",15,,,
,,,,,
FL - 2:6,"He, works",16,0,0,
rr He will render to each one according to his works: ,2:6,16,0,0,
rr render,2:6,16,0,0,
rr according to,2:6,16,0,0,
rr his works,2:6,16,0,0,
#rr hos apod(ow)seiek(ao)tow kat(a) ta (e)rga (au)tou,2:6,16,0,0,
"set: EVV for ""hos""","God, who, He",16,0,0,16
"set: EVV for ""apod(ow)sei hesk(a)stow""","repay each person, render to each one",16,0,0,16
"set: EVV for ""ta (e)rga (au)tou""","what they have done, his works, his deeds",16,0,0,16
esv: on the day of wrath when God's righteous judgment will be revealed. He will render to each one according to his works: ,blanks,16,0,0,
FL - 2:7,"to, life",16,0,0,
"rr to those who by patience in well-doing seek for glory and honor and immortality, he will give eternal life; ",2:7,16,0,0,
rr *seek*,"2:7, 8",16,0,0,
rr patience,"2:4a, 7",16,0,0,
rr glory and honor and immortality,2:7,16,0,0,
rr eternal life,2:7,16,0,0,
#rr tois men kath hupomon(ay)n (e)rgou (a)gathou d(o)xan k(ai)tim(ay)n kai aphthars(i)an zayt(ou)sin zow(ay)n ai(ow)nion,2:7,16,0,0,16
"EVV for ""aphthars(i)an""",immortality,16,0,0,16
"set: EVV for ""hupomon(ay)n""","persistence, patient continuance, perseverance, patience",16,0,0,16
"esv: He will render to each one according to his works:  to those who by patience in well-doing seek for glory and honor and immortality, he will give eternal life; ",blanks,16,0,0,
FL - 2:8,"but, fury",16,0,0,
"rr but for those who are self-seeking and do not obey the truth, but obey unrighteousness, there will be wrath and fury. ",2:8,16,0,0,
rr obey the truth,2:8,16,0,0,
rr obey unrighteousness,2:8,16,0,0,
rr wrath and fury,2:8,16,0,0,
rr obe*,1:5; 2:8; 16:26,16,0,0,
